Symbol,Name,Description,Sector,Industry,Industry_2,Optionable,Country
ACDC,ProFrac Holding Corp.,"Oil & gas field services, not elsewhere classified",Oils/Energy,OIL-FIELD SVCS,OIL MACH/SVC/DRILL,Y,UNITED STATES
ACDVF,Air Canada,"Air transportation, scheduled",Transportation,TRANS-AIRLINE,TRANSPORT-AIR,N,CANADA
ACEL,Accel Entertainment,Amusement & recreation services,Consumer Discretionary,GAMING,LEISURE SERVICES,Y,UNITED STATES
ACET,Adicet Bio,Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,Y,UNITED STATES
ACFN,Acorn Energy,Engineering services,Computer and Technology,ELEC PRODS-MISC,ELECTRONICS,N,UNITED STATES
ACGBY,Agri Bank China,Private households,Finance,BANKS-FOREIGN,BANKS-MAJOR,N,CHINA
ACGL,Arch Capital Group,"Fire, marine, & casualty insurance",Finance,INS-PROP&CASLTY,INSURANCE,Y,BERMUDA
ACGP,Associated Capital Group,Security brokers & dealers,Finance,FIN-INVEST MGMT,INVEST BKRS/MGMT,N,UNITED STATES
ACHC,Acadia Healthcare,"Specialty outpatient clinics, not elsewhere classified",Medical,MED-HOSPITALS,MEDICAL CARE,Y,UNITED STATES
ACHFF,Arch Biopartners Inc.,Commercial physical research,Medical,MED-DRUGS,DRUGS,N,CANADA
ACHR,Archer Aviation,Aircraft,Aerospace,AEROSP/DEFENSE,AEROSPACE/DEFENSE,Y,UNITED STATES
ACHV,Achieve Life Sciences,Diagnostic substances,Medical,MED-DRUGS,DRUGS,Y,CANADA
ACI,Albertsons Companies,Grocery stores,Consumer Staples,CONS PD- MISC STPL,CON PRD-MISC STAPLES,Y,UNITED STATES
ACIC,American Coastal Insurance Corporation,"Fire, marine, & casualty insurance",Finance,INS-PROP&CASLTY,INSURANCE,Y,UNITED STATES
ACIU,AC Immune,Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,Y,SWITZERLAND
ACIW,ACI Worldwide,Prepackaged software,Computer and Technology,COMP-SOFTWARE,COMPUTER SOFT/SERV,Y,UNITED STATES
ACLLY,Accelleron Industries AG - Unsponsored ADR,,Industrial Products,MACH-GENL INDL,MACHINERY,N,
ACLS,Axcelis Technologies,"Special industry machinery, not elsewhere classified",Computer and Technology,ELEC-MANUFT MACH,MISC TECHNOLOGY,Y,UNITED STATES
ACLX,Arcellx,"Biological products, except diagnostic",Medical,MED-BIOMED/GENE,DRUGS,Y,UNITED STATES
ACM,AECOM,Engineering services,Construction,ENGINRG/R&D SVS,CONSTRUCT/BLDG SERV,Y,UNITED STATES
ACMR,ACM Research,"Special industry machinery, not elsewhere classified",Computer and Technology,SEQPT-MATERIAL SVS,MISC TECHNOLOGY,Y,UNITED STATES
ACMT,Acmat,"Holding companies, not elsewhere classified",Finance,INS-MULTI LINE,INSURANCE,N,UNITED STATES
ACMTA,Acmat,Surety insurance,Finance,INS-MULTI LINE,INSURANCE,N,UNITED STATES
ACN,Accenture,"Business services, not elsewhere classified",Computer and Technology,IT Services,COMPUTER SOFT/SERV,Y,IRELAND
ACNB,ACNB,State commercial banks,Finance,BANKS-SOUTHWEST,BANKS & THRIFTS,Y,UNITED STATES
ACNT,Ascent Industries Co.,Chemicals & allied products,Industrial Products,MACH-GENL INDL,MACHINERY,Y,UNITED STATES
ACNV,Accelera Innovations,Health services,Computer and Technology,INTERNET SOFTWARE,COMPUTER SOFT/SERV,N,UNITED STATES
ACOG,Alpha Cognition Inc.,"Biological products, except diagnostic",Medical,MED-BIOMED/GENE,DRUGS,N,CANADA
ACON,Aclarion,Medical laboratories,Medical,Medical Services,MEDICAL CARE,N,UNITED STATES
ACR,ACRES Commercial Realty,Real estate investment trusts,Finance,REIT-MTGE TRUST,REAL ESTATE,Y,UNITED STATES
ACRE,Ares Commercial Real Estate,Real estate investment trusts,Finance,REIT-MTGE TRUST,REAL ESTATE,Y,UNITED STATES
ACRG,"American Clean Resources Group, Inc.","Mining & quarrying of nonmetallic minerals, except fuels",Basic Materials,MINING -MISC,METALS-NON FERR,N,UNITED STATES
ACRS,Aclaris Therapeutics,Pharmaceutical preparations,Medical,MED-DRUGS,DRUGS,Y,UNITED STATES
ACRU,AmeriCrew Inc.,,,,,,
ACRV,"Acrivon Therapeutics, Inc.",Pharmaceutical preparations,Medical,MED-DRUGS,DRUGS,N,UNITED STATES
ACT,Enact Holdings,"Insurance agents, brokers, & service",Finance,INS-MULTI LINE,INSURANCE,Y,UNITED STATES
ACTG,Acacia Research,Patent owners & lessors,Business Services,BUSINESS SVCS,BUSINESS SERVICES,Y,UNITED STATES
ACTU,"Actuate Therapeutics, Inc.",Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,N,UNITED STATES
ACU,Acme United,"Cutlery, handtools, & general hardware",Consumer Discretionary,CONSM PD-MISC DIS,OTHER CONS DISC,N,UNITED STATES
ACUR,Acura Pharmaceuticals,Pharmaceutical preparations,Medical,MED-GENERIC DRG,DRUGS,N,UNITED STATES
ACUS,Acusphere,Pharmaceutical preparations,Medical,MED-DRUGS,DRUGS,N,UNITED STATES
ACVA,ACV Auctions,"Business services, not elsewhere classified",Business Services,Auction/Valuation Services,BUSINESS SERVICES,Y,UNITED STATES
ACXP,Acurx Pharmaceuticals,Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,Y,UNITED STATES
AD,Array Digital Infrastructure Inc.,Radiotelephone communication,Computer and Technology,Wireless National,TELECOMM SVCS,Y,UNITED STATES
ADAG,Adagene,Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,N,CHINA
ADAM,"Adamas Trust, Inc.",Real estate investment trusts,Finance,REIT-MTGE TRUST,REAL ESTATE,Y,UNITED STATES
ADAPY,Adaptimmune Therapeutics,"Biological products, except diagnostic",Medical,MED-BIOMED/GENE,DRUGS,Y,UNITED KINGDOM
ADBE,Adobe,Prepackaged software,Computer and Technology,COMP-SOFTWARE,COMPUTER SOFT/SERV,Y,UNITED STATES
ADC,Agree Realty,Real estate investment trusts,Finance,REIT-EQTY TRUST - RETAIL,REAL ESTATE,Y,UNITED STATES
ADCOF,ADCORE INC,Holding & other investment offices,Business Services,ADVERTISING/MKTG SVCS,BUSINESS SERVICES,N,ISRAEL
ADCT,ADC Therapeutics,Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,Y,SWITZERLAND
ADDYY,Adidas,"Sporting & athletic goods, not elsewhere classified",Consumer Discretionary,SHOES&REL APPRL,APPAREL,N,GERMANY
ADEA,ADEIA INC,Cable & other pay television services,Business Services,Technology Services,BUSINESS SERVICES,Y,UNITED STATES
ADFS,American Defense Systems,Miscellaneous transportation equipment,Aerospace,AEROSP/DEF EQ,AEROSPACE/DEFENSE,N,UNITED STATES
ADGL,ALLDIGITAL HLDG,,,,,,
ADGM,"Adagio Medical Holdings, Inc.",Surgical & medical instruments,Medical,MED INSTRUMENTS,MED PRODS,N,UNITED STATES
ADHLF,APPLIED DEVLPT,,,,,,
ADI,Analog Devices,Semiconductors & related devices,Computer and Technology,SEMI-ANALOG & MIXED,ELECTRON-SEMI,Y,UNITED STATES
ADIA,ADIA NUTRITION,,,,,,
ADIL,Adial Pharmaceuticals,Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,N,UNITED STATES
ADKIL,ADKINS ENERGY,,,,,,
ADLI,American Medical Technologies,Dental equipment & supplies,Medical,MED INSTRUMENTS,MED PRODS,N,UNITED STATES
ADM,Archer Daniels Midland,Fats & oils,Consumer Staples,AGRI OPERATIONS,FOOD,Y,UNITED STATES
ADMA,ADMA Biologics,"Biological products, except diagnostic",Medical,MED-BIOMED/GENE,DRUGS,Y,UNITED STATES
ADMG,Adamant Dri Processing And Minerals Group,Metal mining,Basic Materials,MINING -MISC,METALS-NON FERR,N,UNITED STATES
ADMT,ADM Tronics Unlimited,Electromedical equipment,Medical,MED INSTRUMENTS,MED PRODS,N,UNITED STATES
ADNH,Advent Technologies Holdings,"Miscellaneous electrical machinery, equipment, & supplies",Industrial Products,MACH-ELECTRICAL,MACHINERY-ELEC,N,UNITED STATES
ADNT,Adient,Motor vehicle parts & accessories,Auto/Tires/Trucks,AUTO/TRUCK-ORIG,AUTOS/TIRES/TRUCKS,Y,IRELAND
ADOCY,Adocia,Private households,Medical,MED-BIOMED/GENE,DRUGS,N,FRANCE
ADP,Automatic Data Processing,Data processing & preparation,Computer and Technology,INTERNET SOFTWARE,COMPUTER SOFT/SERV,Y,UNITED STATES
ADPT,Adaptive Biotechnologies,"Biological products, except diagnostic",Medical,MED-BIOMED/GENE,DRUGS,Y,UNITED STATES
ADRNY,Ahold,Grocery stores,Consumer Staples,CONS PD- MISC STPL,CON PRD-MISC STAPLES,N,NETHERLANDS
ADRZY,Andritz,Private households,Industrial Products,Industrial Services,IND PRODS/SVC,N,AUSTRIA
ADSE,ADS-TEC Energy,Miscellaneous transportation equipment,Computer and Technology,ELEC MISC SERVICES,ELECTRONICS,Y,IRELAND
ADSK,Autodesk,Prepackaged software,Computer and Technology,INTERNET SOFTWARE,COMPUTER SOFT/SERV,Y,UNITED STATES
ADST,AdStar,Prepackaged software,Business Services,ADVERTISING/MKTG SVCS,BUSINESS SERVICES,N,UNITED STATES
ADSV,Allied Security Innovations,"Fabricated rubber products, not elsewhere classified",Industrial Products,PROTECTION-SFTY,IND PRODS/SVC,N,UNITED STATES
ADT,ADT,Detective & armored car services,Industrial Products,PROTECTION-SFTY,IND PRODS/SVC,Y,UNITED STATES
ADTC,Advanced Deposition Technologies,Miscellaneous fabricated metal products,Computer and Technology,ELEC-MISC COMPONENTS,ELECTRONICS,N,UNITED STATES
ADTN,"ADTRAN Holdings, Inc.",Telephone & telegraph apparatus,Computer and Technology,Communications Components,TELECOMM EQUIP,Y,UNITED STATES
ADTR,ALLAINCE MEDIA,,,,,,
ADTTF,Advantest Corporation,,,,,,
ADTX,"Aditxt, Inc.",Pharmaceutical preparations,Medical,MED-DRUGS,DRUGS,N,UNITED STATES
ADUR,Aduro Clean Technologies Inc.,Chemicals & allied products,Business Services,Technology Services,BUSINESS SERVICES,Y,CANADA
ADUS,Addus HomeCare,Home health care services,Medical,MED-OUTP/HM CRE,MEDICAL CARE,Y,UNITED STATES
ADV,Advantage Solutions,"Business services, not elsewhere classified",Consumer Discretionary,CONSM PD-MISC DIS,OTHER CONS DISC,Y,UNITED STATES
ADVB,Advanced Biomed Inc.,Medical laboratories,Medical,MED-BIOMED/GENE,DRUGS,N,UNITED STATES
ADVOF,ADVA Optical,"Communications equipment, not elsewhere classified",Computer and Technology,Comm Network Software,TELECOMM EQUIP,N,GERMANY
ADXN,Addex Therapeutics,Pharmaceutical preparations,Medical,MED-DRUGS,DRUGS,N,SWITZERLAND
ADXS,"Ayala Pharmaceuticals, Inc.",Pharmaceutical preparations,Medical,MED-DRUGS,DRUGS,N,UNITED STATES
ADYEY,Adyen,Private households,Computer and Technology,INTERNET SOFTWARE,COMPUTER SOFT/SERV,N,NETHERLANDS
ADYX,Alliqua BioMedical,Surgical & medical instruments,Medical,MED-BIOMED/GENE,DRUGS,N,UNITED STATES
AEAE,AltEnergy Acquisition Corp.,Holding & other investment offices,Unclassified,UNCLASSIFIED,UNCLASSIFIED,N,UNITED STATES
AEBI,Aebi Schmidt Holding AG,Construction machinery,Auto/Tires/Trucks,AUTO -DOMESTIC,AUTOS/TIRES/TRUCKS,Y,SWITZERLAND
AECX,Acadia Energy Corporation,,,,,,
AEDC,AMER ENERGY DEV,,,,,,
AEE,Ameren,Electric & other services combined,Utilities,UTIL-ELEC PWR,UTIL-ELEC PWR,Y,UNITED STATES
AEG,Aegon,Life insurance,Finance,INS-MULTI LINE,INSURANCE,Y,NETHERLANDS
AEGY,ALTERNATIVE EGY,,,,,,
AEHL,Antelope Enterprise Holdings L,"Communication services, not elsewhere classified",Multi-Sector Conglomerates,DIVERSIFIED OPS,CONGLOMERATES,N,UNITED STATES
AEHR,Aehr Test Systems,Instruments to measure electricity,Computer and Technology,ELEC MSRNG INST,ELECTRONICS,Y,UNITED STATES
